buyer_id,seller_id,price,qty,taker_side
2,1,99.96,9,BUY
3,1,99.96,4,BUY
9,8,99.99,66,BUY
12,8,99.99,2,BUY
12,13,99.99,6,SELL
5,13,99.98,14,SELL
6,13,99.91,8,SELL
17,4,100.0,23,BUY
22,4,100.0,15,BUY
22,21,100.02,27,BUY
22,10,100.03,27,BUY
23,10,100.03,20,BUY
24,10,100.03,51,BUY
24,19,100.05,9,BUY
18,30,99.97,37,SELL
25,30,99.97,24,SELL
32,19,100.05,79,BUY
25,33,99.97,16,SELL
34,19,100.05,1,BUY
34,28,100.06,42,BUY
35,28,100.06,37,BUY
35,7,100.09,15,BUY
36,39,100.05,4,SELL
36,44,100.05,32,SELL
36,50,100.05,48,SELL
49,50,100.05,3,SELL
49,63,100.05,56,SELL
49,64,100.05,30,SELL
49,65,100.05,3,SELL
48,65,100.02,4,SELL
67,68,100.03,58,SELL
48,68,100.02,13,SELL
69,45,100.06,46,BUY
48,70,100.02,69,SELL
62,70,100.01,31,SELL
71,73,100.03,66,SELL
71,75,100.03,11,SELL
71,78,100.03,4,SELL
62,78,100.01,2,SELL
37,82,99.99,71,SELL
47,82,99.99,16,SELL
47,86,99.99,56,SELL
56,86,99.99,10,SELL
56,91,99.99,42,SELL
57,91,99.99,5,SELL
92,78,100.01,28,BUY
92,85,100.01,9,BUY
57,93,99.99,3,SELL
76,93,99.99,52,SELL
97,85,100.01,10,BUY
99,85,100.01,12,BUY
105,85,100.01,44,BUY
105,107,100.02,49,SELL
76,108,99.99,29,SELL
52,110,99.98,40,SELL
111,108,99.99,10,BUY
111,109,99.99,31,BUY
111,107,100.01,7,BUY
116,107,100.01,12,BUY
116,115,100.02,19,BUY
116,80,100.03,10,BUY
116,102,100.05,12,BUY
116,113,100.05,5,BUY
52,117,99.98,31,SELL
60,117,99.98,12,SELL
60,118,99.98,3,SELL
106,118,99.98,17,SELL
119,113,100.05,14,BUY
25,121,99.97,22,SELL
83,121,99.97,39,SELL
125,126,100.0,14,SELL
125,131,100.0,10,SELL
125,133,100.0,69,SELL
129,133,99.99,31,SELL
135,128,100.04,25,BUY
138,128,100.04,23,BUY
129,139,99.99,35,SELL
83,139,99.97,32,SELL
84,139,99.97,10,SELL
140,143,100.02,5,SELL
84,143,99.97,7,SELL
84,150,99.97,6,SELL
84,151,99.97,42,SELL
149,151,99.97,14,SELL
31,151,99.96,24,SELL
159,157,99.97,65,BUY
31,161,99.96,23,SELL
96,161,99.96,26,SELL
96,162,99.96,26,SELL
134,162,99.96,11,SELL
134,169,99.96,47,SELL
134,175,99.96,2,SELL
176,157,99.97,15,BUY
177,165,99.98,41,BUY
177,171,99.98,31,BUY
176,185,99.97,20,SELL
134,185,99.96,15,SELL
134,189,99.96,20,SELL
51,190,99.95,19,SELL
51,193,99.95,33,SELL
104,193,99.95,60,SELL
15,193,99.94,4,SELL
15,195,99.94,7,SELL
90,195,99.94,34,SELL
90,199,99.94,14,SELL
136,199,99.94,5,SELL
194,199,99.94,12,SELL
27,199,99.93,43,SELL
201,189,99.96,54,BUY
201,197,99.96,9,BUY
27,212,99.93,4,SELL
89,212,99.93,18,SELL
214,209,99.94,43,BUY
214,220,99.94,17,SELL
89,220,99.93,25,SELL
89,221,99.93,8,SELL
95,221,99.93,7,SELL
101,221,99.93,13,SELL
222,203,99.95,45,BUY
223,203,99.95,19,BUY
223,211,99.95,42,BUY
223,215,99.95,19,BUY
223,197,99.96,2,BUY
101,224,99.93,23,SELL
123,224,99.93,1,SELL
123,231,99.93,8,SELL
130,231,99.93,54,SELL
234,197,99.96,27,BUY
235,197,99.96,24,BUY
240,197,99.96,18,BUY
240,247,99.97,3,SELL
242,247,99.97,3,SELL
244,247,99.95,39,SELL
250,171,99.98,63,BUY
250,186,99.98,15,BUY
255,186,99.98,68,BUY
255,166,99.99,6,BUY
259,166,99.99,3,BUY
253,260,99.97,47,SELL
262,166,99.99,13,BUY
262,174,99.99,75,BUY
273,266,99.98,50,BUY
274,266,99.98,30,BUY
274,158,100.0,45,BUY
277,158,100.0,16,BUY
277,167,100.0,32,BUY
282,167,100.0,4,BUY
290,167,100.0,2,BUY
292,167,100.0,3,BUY
298,167,100.0,31,BUY
298,178,100.0,3,BUY
299,178,100.0,29,BUY
299,270,100.0,64,BUY
310,270,100.0,10,BUY
310,306,100.0,54,BUY
315,306,100.0,44,BUY
315,188,100.01,26,BUY
285,323,99.99,48,SELL
296,323,99.99,32,SELL
327,188,100.01,35,BUY
327,207,100.01,3,BUY
330,207,100.01,70,BUY
296,337,99.99,34,SELL
278,339,99.98,45,SELL
284,339,99.98,19,SELL
340,337,99.99,46,BUY
340,207,100.01,3,BUY
354,207,100.01,7,BUY
354,210,100.01,7,BUY
344,356,100.0,46,SELL
358,210,100.01,13,BUY
358,216,100.01,62,BUY
359,216,100.01,23,BUY
368,216,100.01,5,BUY
368,219,100.01,29,BUY
369,219,100.01,33,BUY
369,228,100.01,33,BUY
344,370,100.0,31,SELL
351,370,100.0,64,SELL
351,377,100.0,25,SELL
364,377,100.0,27,SELL
364,378,100.0,6,SELL
364,380,100.0,12,SELL
387,380,100.0,3,BUY
387,228,100.01,28,BUY
387,230,100.01,9,BUY
348,390,99.99,40,SELL
284,390,99.98,58,SELL
394,388,100.0,1,BUY
394,230,100.01,1,BUY
396,230,100.01,25,BUY
396,236,100.01,45,BUY
401,236,100.01,34,BUY
401,342,100.01,33,BUY
401,233,100.02,24,BUY
400,403,100.0,71,SELL
284,403,99.98,6,SELL
291,403,99.98,5,SELL
291,413,99.98,5,SELL
301,413,99.98,74,SELL
325,413,99.98,5,SELL
325,414,99.98,10,SELL
335,414,99.98,19,SELL
417,406,100.0,49,BUY
417,410,100.01,24,BUY
335,420,99.98,44,SELL
431,418,99.99,6,BUY
432,418,99.99,1,BUY
432,419,100.0,45,BUY
438,419,100.0,27,BUY
335,445,99.98,4,SELL
360,445,99.98,7,SELL
446,419,100.0,8,BUY
446,410,100.01,1,BUY
446,233,100.02,26,BUY
451,457,99.99,21,SELL
360,457,99.98,25,SELL
422,457,99.98,34,SELL
461,331,100.02,14,BUY
460,466,100.0,79,SELL
472,464,100.01,21,BUY
472,331,100.02,9,BUY
474,331,100.02,19,BUY
474,398,100.02,10,BUY
477,398,100.02,7,BUY
478,398,100.02,42,BUY
487,398,100.02,23,BUY
487,415,100.02,24,BUY
488,415,100.02,29,BUY
488,416,100.02,56,BUY
490,416,100.02,25,BUY
490,146,100.03,24,BUY
492,146,100.03,31,BUY
492,272,100.03,40,BUY
492,311,100.03,27,BUY
493,311,100.03,2,BUY
493,332,100.03,78,BUY
494,332,100.03,21,BUY
494,385,100.03,53,BUY
495,385,100.03,10,BUY
495,429,100.03,24,BUY
497,429,100.03,4,BUY
497,475,100.03,49,BUY
500,475,100.03,14,BUY
507,475,100.03,1,BUY
507,128,100.04,18,BUY
508,128,100.04,12,BUY
508,155,100.04,55,BUY
509,155,100.04,22,BUY
509,217,100.04,30,BUY
509,241,100.04,36,BUY
513,241,100.04,19,BUY
513,265,100.04,23,BUY
515,265,100.04,56,BUY
516,265,100.04,21,BUY
516,283,100.04,43,BUY
517,283,100.04,19,BUY
518,283,100.04,15,BUY
518,312,100.04,13,BUY
518,324,100.04,26,BUY
523,324,100.04,15,BUY
528,324,100.04,20,BUY
529,324,100.04,15,BUY
530,324,100.04,4,BUY
530,333,100.04,17,BUY
533,333,100.04,43,BUY
534,333,100.04,7,BUY
534,389,100.04,7,BUY
538,389,100.04,84,BUY
538,405,100.04,6,BUY
539,405,100.04,4,BUY
540,405,100.04,34,BUY
540,425,100.04,51,BUY
542,425,100.04,18,BUY
542,113,100.05,21,BUY
542,120,100.05,41,BUY
544,120,100.05,8,BUY
544,261,100.05,11,BUY
545,261,100.05,29,BUY
546,261,100.05,46,BUY
546,263,100.05,18,BUY
548,263,100.05,60,BUY
548,294,100.05,15,BUY
556,294,100.05,11,BUY
557,294,100.05,24,BUY
558,294,100.05,6,BUY
559,294,100.05,1,BUY
559,393,100.05,21,BUY
562,397,100.05,84,BUY
562,443,100.05,11,BUY
510,563,100.03,33,SELL
514,563,100.02,64,SELL
566,443,100.05,17,BUY
566,454,100.05,71,BUY
571,454,100.05,29,BUY
571,45,100.06,11,BUY
571,103,100.06,3,BUY
571,124,100.06,43,BUY
571,334,100.06,3,BUY
572,334,100.06,45,BUY
573,334,100.06,6,BUY
573,336,100.06,16,BUY
575,336,100.06,37,BUY
575,352,100.06,13,BUY
575,450,100.06,2,BUY
576,450,100.06,35,BUY
577,450,100.06,4,BUY
577,521,100.06,30,BUY
577,79,100.07,49,BUY
577,144,100.07,7,BUY
577,249,100.07,10,BUY
584,249,100.07,42,BUY
584,267,100.07,27,BUY
585,267,100.07,9,BUY
589,267,100.07,4,BUY
589,288,100.07,76,BUY
589,297,100.07,16,BUY
589,302,100.07,3,BUY
514,591,100.02,15,SELL
522,591,100.02,32,SELL
594,302,100.07,43,BUY
597,302,100.07,31,BUY
597,304,100.07,2,BUY
597,353,100.07,20,BUY
598,353,100.07,43,BUY
599,353,100.07,3,BUY
599,409,100.07,48,BUY
599,444,100.07,8,BUY
600,444,100.07,10,BUY
604,444,100.07,8,BUY
604,476,100.07,15,BUY
606,476,100.07,11,BUY
608,476,100.07,9,BUY
608,94,100.08,27,BUY
608,100,100.08,50,BUY
608,127,100.08,5,BUY
609,127,100.08,59,BUY
609,293,100.08,19,BUY
609,328,100.08,16,BUY
610,328,100.08,28,BUY
617,328,100.08,15,BUY
617,355,100.08,34,BUY
619,355,100.08,1,BUY
621,355,100.08,21,BUY
621,384,100.08,66,BUY
621,391,100.08,11,BUY
622,391,100.08,16,BUY
622,434,100.08,37,BUY
622,58,100.09,11,BUY
622,81,100.09,2,BUY
625,81,100.09,16,BUY
625,276,100.09,73,BUY
625,309,100.09,7,BUY
627,309,100.09,12,BUY
628,309,100.09,43,BUY
633,309,100.09,21,BUY
635,309,100.09,17,BUY
635,504,100.09,10,BUY
635,43,100.1,43,BUY
641,43,100.1,45,BUY
641,316,100.1,22,BUY
641,319,100.1,30,BUY
642,319,100.1,42,BUY
642,320,100.1,41,BUY
644,320,100.1,10,BUY
646,320,100.1,34,BUY
646,386,100.1,23,BUY
647,386,100.1,11,BUY
647,452,100.1,18,BUY
651,452,100.1,37,BUY
651,455,100.1,9,BUY
656,455,100.1,15,BUY
657,455,100.1,30,BUY
662,455,100.1,9,BUY
665,455,100.1,4,BUY
665,535,100.1,32,BUY
665,14,100.11,15,BUY
665,16,100.11,36,BUY
665,20,100.11,8,BUY
667,20,100.11,43,BUY
667,26,100.11,4,BUY
667,40,100.11,10,BUY
668,40,100.11,44,BUY
668,308,100.11,8,BUY
671,308,100.11,29,BUY
674,308,100.11,18,BUY
676,308,100.11,12,BUY
676,343,100.11,8,BUY
677,343,100.11,3,BUY
685,343,100.11,17,BUY
686,343,100.11,28,BUY
686,346,100.11,20,BUY
686,437,100.11,31,BUY
688,437,100.11,17,BUY
688,440,100.11,10,BUY
688,479,100.11,52,BUY
688,491,100.11,8,BUY
692,491,100.11,9,BUY
693,491,100.11,19,BUY
693,46,100.12,15,BUY
696,46,100.12,17,BUY
698,46,100.12,10,BUY
699,46,100.12,24,BUY
699,305,100.12,45,BUY
699,329,100.12,11,BUY
700,329,100.12,28,BUY
663,704,100.09,4,SELL
687,704,100.09,13,SELL
717,448,100.12,61,BUY
718,448,100.12,18,BUY
718,470,100.12,12,BUY
718,483,100.12,59,BUY
718,519,100.12,5,BUY
721,519,100.12,3,BUY
721,112,100.13,26,BUY
721,480,100.13,45,BUY
710,728,100.11,70,SELL
730,480,100.13,4,BUY
731,480,100.13,4,BUY
731,525,100.13,26,BUY
731,601,100.13,38,BUY
731,42,100.14,1,BUY
731,453,100.14,13,BUY
732,453,100.14,61,BUY
733,502,100.14,14,BUY
735,502,100.14,81,BUY
735,541,100.14,3,BUY
736,541,100.14,29,BUY
736,569,100.14,9,BUY
737,569,100.14,29,BUY
738,569,100.14,45,BUY
738,570,100.14,4,BUY
739,570,100.14,49,BUY
739,595,100.14,14,BUY
744,595,100.14,28,BUY
747,595,100.14,27,BUY
747,618,100.14,8,BUY
749,618,100.14,44,BUY
750,618,100.14,44,BUY
750,485,100.15,2,BUY
751,485,100.15,8,BUY
751,526,100.15,18,BUY
751,650,100.15,50,BUY
752,650,100.15,23,BUY
752,114,100.16,40,BUY
753,114,100.16,24,BUY
753,484,100.16,41,BUY
754,484,100.16,5,BUY
754,543,100.16,2,BUY
754,561,100.16,39,BUY
758,561,100.16,12,BUY
758,626,100.16,15,BUY
758,643,100.16,17,BUY
759,643,100.16,60,BUY
759,675,100.16,19,BUY
760,675,100.16,3,BUY
760,690,100.16,42,BUY
763,690,100.16,42,BUY
763,537,100.17,22,BUY
764,537,100.17,18,BUY
765,537,100.17,14,BUY
766,537,100.17,25,BUY
767,537,100.17,15,BUY
767,587,100.17,82,BUY
768,587,100.17,4,BUY
768,602,100.17,4,BUY
770,602,100.17,47,BUY
771,602,100.17,3,BUY
771,613,100.17,27,BUY
771,614,100.17,32,BUY
772,614,100.17,25,BUY
772,666,100.17,3,BUY
772,549,100.18,17,BUY
780,549,100.18,72,BUY
780,607,100.18,2,BUY
784,607,100.18,28,BUY
785,607,100.18,38,BUY
785,645,100.18,30,BUY
788,645,100.18,5,BUY
790,645,100.18,24,BUY
792,645,100.18,34,BUY
794,645,100.18,6,BUY
794,649,100.18,24,BUY
794,532,100.19,10,BUY
794,582,100.19,1,BUY
795,582,100.19,21,BUY
795,592,100.19,13,BUY
796,592,100.19,46,BUY
796,620,100.19,15,BUY
797,620,100.19,43,BUY
798,620,100.19,14,BUY
798,682,100.19,50,BUY
800,682,100.19,7,BUY
800,711,100.19,14,BUY
800,511,100.2,27,BUY
802,511,100.2,58,BUY
802,512,100.2,33,BUY
803,512,100.2,58,BUY
803,520,100.2,39,BUY
805,520,100.2,36,BUY
807,520,100.2,18,BUY
807,524,100.2,17,BUY
808,524,100.2,51,BUY
808,553,100.2,39,BUY
710,810,100.11,29,SELL
709,810,100.1,9,SELL
715,810,100.1,42,SELL
812,553,100.2,10,BUY
812,681,100.2,11,BUY
814,681,100.2,31,BUY
815,681,100.2,48,BUY
815,703,100.2,13,BUY
817,703,100.2,11,BUY
817,568,100.21,25,BUY
817,638,100.21,28,BUY
817,680,100.21,33,BUY
822,680,100.21,56,BUY
822,724,100.21,30,BUY
823,724,100.21,23,BUY
823,552,100.22,67,BUY
824,552,100.22,7,BUY
824,616,100.22,40,BUY
825,616,100.22,52,BUY
825,672,100.22,31,BUY
825,741,100.22,6,BUY
826,741,100.22,49,BUY
828,741,100.22,4,BUY
829,741,100.22,12,BUY
829,550,100.23,22,BUY
829,551,100.23,58,BUY
830,551,100.23,11,BUY
830,564,100.23,10,BUY
830,565,100.23,24,BUY
833,565,100.23,20,BUY
837,565,100.23,23,BUY
837,578,100.23,36,BUY
837,590,100.23,13,BUY
837,632,100.23,14,BUY
843,632,100.23,56,BUY
849,632,100.23,21,BUY
849,640,100.23,45,BUY
852,640,100.23,47,BUY
852,695,100.23,8,BUY
852,706,100.23,7,BUY
852,713,100.23,12,BUY
856,713,100.23,44,BUY
856,554,100.24,11,BUY
858,554,100.24,44,BUY
858,574,100.24,5,BUY
861,574,100.24,24,BUY
867,574,100.24,26,BUY
870,574,100.24,9,BUY
875,574,100.24,11,BUY
879,574,100.24,14,BUY
879,596,100.24,9,BUY
879,612,100.24,4,BUY
869,880,100.23,1,SELL
869,883,100.23,40,SELL
887,612,100.24,40,BUY
887,636,100.24,11,BUY
887,679,100.24,11,BUY
888,679,100.24,39,BUY
891,679,100.24,17,BUY
891,757,100.24,19,BUY
891,819,100.24,5,BUY
892,819,100.24,50,BUY
892,684,100.25,18,BUY
892,701,100.25,6,BUY
896,897,100.24,7,SELL
898,701,100.25,24,BUY
904,701,100.25,39,BUY
904,818,100.25,21,BUY
896,905,100.24,16,SELL
906,818,100.25,11,BUY
906,871,100.25,70,BUY
907,871,100.25,29,BUY
907,878,100.25,9,BUY
907,567,100.26,18,BUY
909,567,100.26,37,BUY
913,912,100.25,39,BUY
913,567,100.26,3,BUY
916,567,100.26,16,BUY
918,567,100.26,22,BUY
918,683,100.26,27,BUY
919,683,100.26,15,BUY
919,707,100.26,4,BUY
919,708,100.26,63,BUY
896,921,100.24,13,SELL
896,929,100.24,23,SELL
930,708,100.26,5,BUY
930,716,100.26,16,BUY
930,720,100.26,18,BUY
933,720,100.26,76,BUY
933,746,100.26,24,BUY
896,934,100.24,10,SELL
896,939,100.24,2,SELL
942,746,100.26,2,BUY
942,762,100.26,9,BUY
948,603,100.27,27,BUY
953,603,100.27,4,BUY
956,603,100.27,14,BUY
942,957,100.26,5,SELL
952,957,100.26,8,SELL
962,603,100.27,1,BUY
962,624,100.27,10,BUY
962,629,100.27,8,BUY
966,629,100.27,42,BUY
966,678,100.27,30,BUY
968,678,100.27,42,BUY
978,678,100.27,3,BUY
978,689,100.27,78,BUY
979,689,100.27,5,BUY
979,742,100.27,65,BUY
979,920,100.27,22,BUY
982,920,100.27,16,BUY
983,920,100.27,16,BUY
983,937,100.27,14,BUY
983,583,100.28,60,BUY
984,583,100.28,36,BUY
984,586,100.28,13,BUY
985,586,100.28,40,BUY
988,586,100.28,41,BUY
988,593,100.28,5,BUY
988,832,100.28,9,BUY
989,832,100.28,12,BUY
990,832,100.28,64,BUY
990,866,100.28,18,BUY
993,866,100.28,36,BUY
993,963,100.28,14,BUY
995,963,100.28,8,BUY
995,725,100.29,23,BUY
997,725,100.29,74,BUY
997,727,100.29,22,BUY
998,727,100.29,6,BUY
1000,727,100.29,13,BUY
1000,748,100.29,9,BUY
1000,781,100.29,20,BUY
1000,799,100.29,18,BUY
1002,799,100.29,23,BUY
1002,835,100.29,40,BUY
1002,853,100.29,6,BUY
1003,853,100.29,2,BUY
1011,853,100.29,38,BUY
1012,853,100.29,15,BUY
994,1015,100.27,27,SELL
1005,1015,100.27,2,SELL
1018,876,100.29,23,BUY
1018,581,100.3,13,BUY
1018,745,100.3,28,BUY
1020,745,100.3,68,BUY
1020,779,100.3,10,BUY
1021,779,100.3,31,BUY
1022,779,100.3,25,BUY
1023,779,100.3,9,BUY
1023,789,100.3,28,BUY
1023,850,100.3,3,BUY
1023,889,100.3,52,BUY
1024,889,100.3,38,BUY
1024,899,100.3,43,BUY
1026,899,100.3,3,BUY
1029,899,100.3,14,BUY
1036,899,100.3,37,BUY
1036,910,100.3,12,BUY
1036,950,100.3,5,BUY
1037,950,100.3,4,BUY
1037,958,100.3,32,BUY
1037,723,100.31,39,BUY
1039,723,100.31,9,BUY
1039,726,100.31,18,BUY
1039,820,100.31,32,BUY
1041,820,100.31,12,BUY
1043,820,100.31,37,BUY
1043,845,100.31,8,BUY
1045,845,100.31,18,BUY
1045,877,100.31,24,BUY
1045,884,100.31,33,BUY
1046,884,100.31,32,BUY
1046,911,100.31,32,BUY
1047,911,100.31,9,BUY
1049,911,100.31,38,BUY
1049,922,100.31,26,BUY
1050,922,100.31,7,BUY
1058,922,100.31,22,BUY
1058,925,100.31,67,BUY
1058,980,100.31,5,BUY
1060,980,100.31,4,BUY
1060,987,100.31,4,BUY
1060,839,100.32,50,BUY
1062,839,100.32,20,BUY
1062,874,100.32,18,BUY
1065,874,100.32,23,BUY
1067,874,100.32,34,BUY
1068,874,100.32,22,BUY
1068,970,100.32,6,BUY
1069,970,100.32,34,BUY
1069,903,100.33,2,BUY
1070,903,100.33,21,BUY
1070,928,100.33,18,BUY
1070,931,100.33,45,BUY
1073,931,100.33,6,BUY
1073,977,100.33,27,BUY
1077,977,100.33,70,BUY
1077,1019,100.33,11,BUY
1079,1019,100.33,69,BUY
1079,791,100.34,6,BUY
1080,791,100.34,4,BUY
1082,791,100.34,23,BUY
1083,791,100.34,11,BUY
1083,811,100.34,48,BUY
1083,882,100.34,12,BUY
1087,882,100.34,14,BUY
1087,932,100.34,27,BUY
1091,932,100.34,25,BUY
1091,1017,100.34,15,BUY
1092,755,100.35,37,BUY
1094,755,100.35,37,BUY
1094,783,100.35,43,BUY
1095,783,100.35,14,BUY
1095,857,100.35,35,BUY
1090,1100,100.31,52,SELL
1099,1100,100.31,19,SELL
1105,857,100.35,4,BUY
1105,859,100.35,50,BUY
1105,862,100.35,16,BUY
1106,862,100.35,29,BUY
1110,862,100.35,23,BUY
1114,862,100.35,24,BUY
1114,865,100.35,24,BUY
1116,865,100.35,61,BUY
1116,946,100.35,13,BUY
1117,946,100.35,33,BUY
1118,946,100.35,13,BUY
1120,946,100.35,26,BUY
1120,965,100.35,32,BUY
1120,756,100.36,9,BUY
1123,756,100.36,25,BUY
1125,756,100.36,46,BUY
1125,777,100.36,1,BUY
1127,777,100.36,42,BUY
1127,782,100.36,14,BUY
